"subjnum" "catt33G2" "G2m1_rpdi" "G2m2_pdi" "G2m3_rpd0" "G2m4_pd0" "G2m5_rpd1" "G2m6_pd1" "G2m7_rpi" "G2m8_pi" "G2m9_rp0" "G2m10_p0" "G2m11_rp1" "G2m12_p1" "G2m13_rdi" "G2m14_di" "G2m15_rd0" "G2m16_d0" "G2m17_rd1" "G2m18_d1" "G2m19_ri" "G2m20_i" "G2m21_r0" "G2m22_0" "G2m23_r1" "G2m24_1" "BICm1_rpdi" "BICm2_pdi" "BICm3_rpd0" "BICm4_pd0" "BICm5_rpd1" "BICm6_pd1" "BICm7_rpi" "BICm8_pi" "BICm9_rp0" "BICm10_p0" "BICm11_rp1" "BICm12_p1" "BICm13_rdi" "BICm14_di" "BICm15_rd0" "BICm16_d0" "BICm17_rd1" "BICm18_d1" "BICm19_ri" "BICm20_i" "BICm21_r0" "BICm22_0" "BICm23_r1" "BICm24_1" "subjnum" "m5_rpd1_r" "m5_rpd1_p" "m5_rpd1_d" "m5_rpd1_i"
"s42" 42 102.613561526859 NA NA NA NA 10.6493527138688 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23.3516722276606 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 42 0.999999999999992 0.950415714133676 0.54933655403629 0.0100000000151932
"s43" 43 102.613561526859 NA NA NA NA 0.479704040619153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.1820235544109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43 0.532523154921626 0.999999999999953 5 0.01
"s44" 44 156.997865896897 NA NA NA NA 85.1070784508334 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 98.539088894268 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 44 0.989273197550723 0.318008095445559 0.177516514245972 2.36646815208043
"s45" 45 121.000788444259 NA NA NA NA 26.9577452938522 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 40.027871773921 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45 0.999288918273641 1 0.16805856829802 0.010001302100887
"s46" 46 365.338689980561 NA NA NA NA 271.359072590076 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 285.671126463473 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46 0.956992435470084 0.0290520334591909 0.226697394945227 0.931159765812442
"s47" 47 102.613561526859 NA NA NA NA 0.479704040619153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.1820235544109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 47 0.532523154921626 0.999999999999953 5 0.01
"s48" 48 175.385292824298 NA NA NA NA 87.6630008771253 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 101.417903313137 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 48 0.999999999675582 0.003135389373787 0.102092386770686 0.0101143183257272
"s49" 49 199.07756059474 NA NA NA NA 99.4649940649764 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 112.757444461506 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 49 0.70600892370676 0.930896347103469 0.577059845499736 0.140711523392874
"s50" 50 111.401659876201 NA NA NA NA 27.5235621359475 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 40.3949404593927 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 50 1 0.939106454483009 0.19580069049647 0.0123077586615659
"s51" 51 216.687429910311 NA NA NA NA 164.880832810313 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 179.413394069689 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 51 0.583480810625833 0.159737707800486 0.287520455382118 3.75302313265962
