"subjID" "group" "trial" "deck" "outcome"
"569" 7 "SDI" 46 3 0
"570" 7 "SDI" 47 4 0
"571" 7 "SDI" 48 1 0
"572" 7 "SDI" 49 3 0
"573" 7 "SDI" 50 2 0
"574" 7 "SDI" 51 1 1
"575" 7 "SDI" 52 2 0
"576" 7 "SDI" 53 4 0
"577" 7 "SDI" 54 2 0
"578" 7 "SDI" 55 4 0
"579" 7 "SDI" 56 4 0
"580" 7 "SDI" 57 2 1
"581" 7 "SDI" 58 1 1
"582" 7 "SDI" 59 3 1
"583" 7 "SDI" 60 2 1
"584" 7 "SDI" 61 4 1
"585" 7 "SDI" 62 3 1
"586" 7 "SDI" 63 2 1
"587" 7 "SDI" 64 1 1
"588" 7 "SDI" 65 1 1
"589" 7 "SDI" 66 4 1
"590" 7 "SDI" 67 2 0
"591" 7 "SDI" 68 1 1
"592" 7 "SDI" 69 2 1
"593" 7 "SDI" 70 3 1
"594" 7 "SDI" 71 4 1
"595" 7 "SDI" 72 1 1
"596" 7 "SDI" 73 2 1
"597" 7 "SDI" 74 3 1
"598" 7 "SDI" 75 4 1
"599" 7 "SDI" 76 1 1
"600" 7 "SDI" 77 4 1
"601" 7 "SDI" 78 3 0
"602" 7 "SDI" 79 1 1
"603" 7 "SDI" 80 4 1
"604" 7 "SDI" 81 1 0
"605" 7 "SDI" 82 4 1
"606" 7 "SDI" 83 1 1
"607" 7 "SDI" 84 3 0
"608" 7 "SDI" 85 2 1
"609" 7 "SDI" 86 3 1
"610" 7 "SDI" 87 2 1
"611" 7 "SDI" 88 1 1
"612" 7 "SDI" 89 1 0
"613" 7 "SDI" 90 3 0
"614" 7 "SDI" 91 4 0
"615" 7 "SDI" 92 1 0
"616" 7 "SDI" 93 2 1
"617" 7 "SDI" 94 3 1
"618" 7 "SDI" 95 4 1
"619" 7 "SDI" 96 2 1
"620" 7 "SDI" 97 4 1
"621" 7 "SDI" 98 3 1
"622" 7 "SDI" 99 2 1
"623" 7 "SDI" 100 1 1
"624" 7 "SDI" 101 4 1
"625" 7 "SDI" 102 2 1
"626" 7 "SDI" 103 4 0
"627" 7 "SDI" 104 3 0
"628" 7 "SDI" 105 1 1
"629" 7 "SDI" 106 2 0
"630" 7 "SDI" 107 4 1
"631" 7 "SDI" 108 1 0
"632" 7 "SDI" 109 2 0
"633" 7 "SDI" 110 2 1
"634" 7 "SDI" 111 1 1
"635" 7 "SDI" 112 3 1
"636" 7 "SDI" 113 2 1
"637" 7 "SDI" 114 4 1
"638" 7 "SDI" 115 1 1
"639" 7 "SDI" 116 3 1
"640" 7 "SDI" 117 2 1
"641" 7 "SDI" 118 4 1
"642" 7 "SDI" 119 1 1
"643" 8 "SDI" 1 1 0
"644" 8 "SDI" 2 1 1
"645" 8 "SDI" 3 4 1
"646" 8 "SDI" 4 1 1
"647" 8 "SDI" 5 2 1
"648" 8 "SDI" 6 3 1
"649" 8 "SDI" 7 4 1
"650" 8 "SDI" 8 1 1
"651" 8 "SDI" 9 2 1
